genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_002387895.1,Clostridium sp. UBA4548,97.79,5.85,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense,Firmicutes,Firmicutes,UBA4548,SAMN06455279,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002387895.1,Scaffold,4.16467,31.1,,DGLI01,51,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/387/895/GCA_002387895.1_ASM238789v1,
GCA_003153955.1,Dehalococcoidia bacterium,80.89,0.99,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003153955,Chloroflexi,Chloroflexi,fen_1064,SAMN08179778,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003153955.1,Scaffold,2.08646,49,,PMCB01,137,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/955/GCA_003153955.1_20120700_E3M,
GCA_001771545.1,candidate division WOR-1 bacterium RIFOXYB2_FULL_42_35,88.03,1.71,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__XYD2-FULL-41-8;s__XYD2-FULL-41-8 sp001771545,WOR4,Other,,SAMN04314412,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001771545.1,Scaffold,1.78925,41.6,,MEUC01,51,1692,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/545/GCA_001771545.1_ASM177154v1,
GCA_002411325.1,Syntrophomonas sp. UBA5298,96.52,3.1,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA5298,SAMN06456032,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002411325.1,Scaffold,3.2461,46.9,,DHSA01,96,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/411/325/GCA_002411325.1_ASM241132v1,
GCA_002753305.1,Nitrospirae bacterium MYbin6,85.35,2.73,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__HCH-1;s__HCH-1 sp002753305,Nitrospirae,Nitrospirae,MYbin6,SAMN07572855,PRJNA400260,Sediment metagenome,NA,Sediment,GCA_002753305.1,Scaffold,3.59676,47.8,,PEAC01,218,0,2017-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/305/GCA_002753305.1_ASM275330v1,
GCA_000816575.1,Geobacter soli,98.67,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter anodireducens,Deltaproteobacteria,Deltaproteobacteria,GSS01,SAMN03275688,PRJNA271628,Isolate sequencing,Yang et al. 2015,Isolate,GCA_000816575.1,Scaffold,3.65721,61.8,,JXBL01,8,3257,2015-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/575/GCA_000816575.1_ASM81657v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/575/GCF_000816575.1_ASM81657v1
GCA_003170055.1,Nitrospiraceae bacterium,88.79,0.91,Bacteria;Nitrospirae;Nitrospira,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__Fen-1308;s__Fen-1308 sp003170655,Nitrospirae,Nitrospirae,fen_1309,SAMN08179089,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003170055.1,Scaffold,2.69904,48.6,,PMZW01,445,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/170/055/GCA_003170055.1_20110800_E3M,
GCA_003136095.1,Myxococcales bacterium,85.15,1.31,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003136095,Deltaproteobacteria,Deltaproteobacteria,fen_1138,SAMN08179765,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003136095.1,Scaffold,6.02881,66.1,,PNBO01,456,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/136/095/GCA_003136095.1_20120700_E3M,
GCA_000255115.3,Desulfosporosinus acidiphilus SJ4,99.49,2.41,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acidiphilus,Firmicutes,Firmicutes,SJ4,SAMN02232014,PRJNA61821,JGI Isolate sequencing,Pester et al. 2012,Isolate,GCA_000255115.3,Complete,4.99118,42.0694,chromosome:NC_018068.1/CP003639.1; plasmid pDESACI.01:NC_018066.1/CP003640.1; plasmid pDESACI.02:NC_018067.1/CP003641.1,,3,4403,2012-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/115/GCA_000255115.3_ASM25511v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/115/GCF_000255115.2_ASM25511v3
GCA_001707885.1,Desulfosporosinus sp. BG,99.23,4.37,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp001707885,Firmicutes,Firmicutes,BG,SAMN05356743,PRJNA327476,Isolate sequencing,NA,Isolate,GCA_001707885.1,Contig,4.52325,42.4,,MASS01,135,4081,2016-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/885/GCA_001707885.1_ASM170788v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/707/885/GCF_001707885.1_ASM170788v1
GCA_002789615.1,Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,81.55,2.56,Bacteria;Acidobacteria;unclassified Acidobacteria,d__Bacteria;p__Acidobacteriota;c__UM-FILTER-49-7;o__UM-FILTER-49-7;f__UM-FILTER-49-7;g__UM-FILTER-49-7;s__UM-FILTER-49-7 sp002789615,Acidobacteria,Acidobacteria,CG_4_9_14_3_um_filter_49_7,SAMN06660039,PRJNA362739,aquifer metagenome,Probst et al. 2030,Subsurface,GCA_002789615.1,Scaffold,2.11141,49,,PFTO01,215,1986,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/789/615/GCA_002789615.1_ASM278961v1,
GCA_001803235.1,Lentisphaerae bacterium RIFOXYA12_64_32,95.27,5.6,Bacteria;PVC group;Lentisphaerae,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__YB12-FULL-65-16;g__YB12-FULL-65-16;s__YB12-FULL-65-16 sp001803235,PVC;Lentisphaerae,PVC,,SAMN04316206,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803235.1,Scaffold,10.642,64.9,,MHBL01,503,6876,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/235/GCA_001803235.1_ASM180323v1,
GCA_002298125.1,Clostridium sp. UBA701,96.88,2.28,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__UBA701;s__UBA701 sp002298125,Firmicutes,Firmicutes,UBA701,SAMN06453164,PRJNA348753,Parks 2017 UBA reassembly,Comparative metagenome analyses of anode-associated microbial communities developed in Wetlands field-soil microbial fuel cells,Wetlands,GCA_002298125.1,Scaffold,2.97949,36.2,,DBMJ01,23,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/125/GCA_002298125.1_ASM229812v1,
GCA_000235605.1,Desulfosporosinus orientis DSM 765,99.17,0.51,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis,Firmicutes,Firmicutes,DSM 765,SAMN02261424,PRJNA66191,JGI Isolate sequencing,Pester et al. 2012,Isolate,GCA_000235605.1,Complete,5.86308,42.9,chromosome:NC_016584.1/CP003108.1,,1,5229,2011-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/605/GCA_000235605.1_ASM23560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/605/GCF_000235605.1_ASM23560v1
GCA_002322035.1,Geobacter sp. UBA1603,85.16,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA1603;s__UBA1603 sp002322035,Deltaproteobacteria,Deltaproteobacteria,UBA1603,SAMN06451976,PRJNA348753,Parks 2017 UBA reassembly,Urban waterways sediment Metagenome,Sediment,GCA_002322035.1,Scaffold,2.35116,55.4,,DCNF01,108,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/322/035/GCA_002322035.1_ASM232203v1,
GCA_003142835.1,Syntrophaceae bacterium,86.03,1.61,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__FEN-1160;s__FEN-1160 sp003142835,Deltaproteobacteria,Deltaproteobacteria,fen_1160,SAMN08180095,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142835.1,Scaffold,2.49426,44.3,,PLNU01,188,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/835/GCA_003142835.1_20120800_E1X,
GCA_001805295.1,Nitrospirae bacterium RIFOXYC2_FULL_44_7,77.35,1.14,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001805105,Nitrospirae,Nitrospirae,,SAMN04314605,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001805295.1,Scaffold,1.67639,42.9,,MHEY01,457,1259,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/805/295/GCA_001805295.1_ASM180529v1,
GCA_002418985.1,Deltaproteobacteria bacterium UBA5756,95.38,3.23,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__Delta-02 sp002418985,Deltaproteobacteria,Deltaproteobacteria,UBA5756,SAMN06454536,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002418985.1,Scaffold,3.42375,53.7,,DIFE01,166,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/418/985/GCA_002418985.1_ASM241898v1,
GCA_002347225.1,Desulfobulbaceae bacterium UBA2248,73.68,1.75,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__Tol-SR sp000769715,Deltaproteobacteria,Deltaproteobacteria,UBA2248,SAMN06452699,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002347225.1,Scaffold,3.09844,60.4,,DDXY01,108,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/225/GCA_002347225.1_ASM234722v1,
GCA_001871685.1,Nitrospirae bacterium CG1_02_44_142,89.77,0,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685,Nitrospirae,Nitrospirae,CG1_02_44_142,SAMN04328216,PRJNA297582,groundwater metagenome/Subsurface,Probst et al. 2017,Subsurface,GCA_001871685.1,Scaffold,1.79352,43.9,,MNVK01,138,1839,2016-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/871/685/GCA_001871685.1_ASM187168v1,
GCA_002774505.1,Nitrospirae bacterium CG08_land_8_20_14_0_20_52_24,89.6,1.72,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__CG2-30-53-67;c__CG2-30-53-67;o__CG2-30-53-67;f__CG2-30-53-67;g__CG2-30-53-67;s__CG2-30-53-67 sp001873285,Nitrospirae,Nitrospirae,CG08_land_8_20_14_0_20_52_24,SAMN06659284,PRJNA362739,aquifer metagenome,Probst et al. 2040,Subsurface,GCA_002774505.1,Scaffold,2.94638,52.5,,PEYF01,296,2710,2017-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/774/505/GCA_002774505.1_ASM277450v1,
GCA_003142875.1,Syntrophaceae bacterium,94.84,0.68,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,fen_1159,SAMN08180094,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142875.1,Scaffold,2.87748,43.7,,PLNV01,119,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/875/GCA_003142875.1_20120800_E1D,
GCA_000179595.2,Hungateiclostridium cellulolyticum CD2,99.32,4.39,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio cellulolyticus,Firmicutes,Firmicutes,CD2,SAMN02256541,PRJNA45843,JGI Isolate sequencing,NA,Isolate,GCA_000179595.2,Scaffold,6.15674,35.5,,AEDB02,10,4791,2010-08-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/595/GCA_000179595.2_ASM17959v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2
GCA_002868945.1,Desulfobulbaceae bacterium,98.81,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__BM506;s__BM506 sp002868945,Deltaproteobacteria,Deltaproteobacteria,BM506,SAMN07982683,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002868945.1,Scaffold,3.70699,56.3,,PKTX01,83,3168,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/945/GCA_002868945.1_ASM286894v1,
GCA_001304105.1,Deltaproteobacteria bacterium SM23_61,85.66,6.77,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__BSN033;o__SM23-61;f__SM23-61;g__SM23-61;s__SM23-61 sp001304105,Deltaproteobacteria,Deltaproteobacteria,SM23_61,SAMN03994218,PRJNA270657,estuary Sediment metagenomes,Zaremba et al Nature,Sediment,GCA_001304105.1,Scaffold,4.24146,56.2,,LJUR01,286,3541,2015-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/304/105/GCA_001304105.1_ASM130410v1,
GCA_002412435.1,Syntrophomonas sp. UBA5221,96.99,3.53,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA5221,SAMN06450920,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002412435.1,Scaffold,3.17514,47.4,,DHUZ01,83,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/435/GCA_002412435.1_ASM241243v1,
GCA_001797845.1,Deltaproteobacteria bacterium RBG_16_44_11,93.87,1.33,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp001797845,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313748,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797845.1,Scaffold,2.43062,43.2,,MGQN01,47,2137,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/845/GCA_001797845.1_ASM179784v1,
GCA_001604475.1,Synergistales bacterium Syner_03,100,2.37,Bacteria;Synergistetes;Synergistia,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002306075,Synergistetes,Synergistetes,Syner_03,SAMN03837573,PRJNA284316,anaerobic digester metagenome,NA,Engineered,GCA_001604475.1,Scaffold,1.90923,52,,LVBQ01,218,0,2016-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/475/GCA_001604475.1_ASM160447v1,
GCA_001803605.1,Nitrospirae bacterium GWA2_46_11,92.27,0.91,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__GWB2-47-37;s__GWB2-47-37 sp001803635,Nitrospirae,Nitrospirae,,SAMN04314103,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803605.1,Scaffold,2.29283,46.6,,MHDT01,56,2232,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/605/GCA_001803605.1_ASM180360v1,
GCA_000445165.1,Dehalobacter sp. UNSWDHB,99.94,0.38,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus,Firmicutes,Firmicutes,UNSWDHB,SAMN02471907,PRJNA205884,Isolate sequencing,Deshpande et al. 2013,Isolate,GCA_000445165.1,Scaffold,3.20156,44.9,,AUUR01,185,2944,2013-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/165/GCA_000445165.1_UNSWDHB,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/165/GCF_000445165.1_UNSWDHB
GCA_003155455.1,Dehalococcoidia bacterium,87.16,1.98,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335,Chloroflexi,Chloroflexi,fen_1062,SAMN08179759,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155455.1,Scaffold,2.77859,47.6,,PMCT01,177,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/455/GCA_003155455.1_20120700_E3M,
GCA_003157495.1,Opitutae bacterium,89.82,3.11,Bacteria;PVC group;Verrucomicrobia,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp003153035,PVC;Verrucomicrobia,PVC,fen_1433,SAMN08179569,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003157495.1,Scaffold,4.41847,64.2,,PMJW01,442,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/495/GCA_003157495.1_20120600_E2D,
GCA_002452635.1,Desulfovibrionaceae bacterium UBA6814,83.36,3.25,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6814;s__UBA6814 sp002452635,Deltaproteobacteria,Deltaproteobacteria,UBA6814,SAMN06456988,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002452635.1,Scaffold,3.61403,68.8,,DKEU01,290,0,2017-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/452/635/GCA_002452635.1_ASM245263v1,
GCA_900184255.1,Khelaifiella massiliensis,100,3.56,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Khelaifiella;s__Khelaifiella massiliensis,Firmicutes,Firmicutes,Mt13,SAMEA104087842,PRJEB20938,Isolate sequencing,NA,Isolate,GCA_900184255.1,Scaffold,4.21583,29.8,,FXWX01,25,3571,2017-12-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/255/GCA_900184255.1_PRJEB20938,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/184/255/GCF_900184255.1_PRJEB20938
GCA_002329025.1,Desulfobacteraceae bacterium UBA2130,95.16,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__UBA2156;s__UBA2156 sp002328165,Deltaproteobacteria,Deltaproteobacteria,UBA2130,SAMN06455087,PRJNA348753,Parks 2017 UBA reassembly,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,Marine,GCA_002329025.1,Scaffold,2.98027,45.6,,DCXS01,71,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/025/GCA_002329025.1_ASM232902v1,
GCA_000007985.2,Geobacter sulfurreducens PCA,99.35,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens,Deltaproteobacteria,Deltaproteobacteria,PCA,SAMN02603989,PRJNA192,Isolate sequencing,Butler et al. 2012,Isolate,GCA_000007985.2,Complete,3.81413,60.9,chromosome:NC_002939.5/AE017180.2,,1,3430,2002-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/985/GCF_000007985.2_ASM798v2
GCA_003158395.1,Myxococcales bacterium,89.64,4.52,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158395,Deltaproteobacteria,Deltaproteobacteria,fen_1127,SAMN08179594,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003158395.1,Scaffold,5.34942,64.2,,PMIX01,461,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/395/GCA_003158395.1_20120600_E3D,
GCA_003139775.1,Syntrophaceae bacterium,96.45,1.33,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,bog_1110,SAMN08179212,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003139775.1,Scaffold,3.41603,43.2,,PLGI01,206,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/775/GCA_003139775.1_20110800_S3D,
GCA_003158615.1,Nitrospiraceae bacterium,94,1.82,Bacteria;Nitrospirae;Nitrospira,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__Fen-1308;s__Fen-1308 sp003170655,Nitrospirae,Nitrospirae,fen_1311,SAMN08179556,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003158615.1,Scaffold,3.5562,48.8,,PMKJ01,290,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/615/GCA_003158615.1_20120600_E2D,
GCA_001789205.1,Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16,97.8,2.2,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__XYB2-FULL-49-35 sp001789205,Candidatus Raymondbacteria,Other,,SAMN04314369,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001789205.1,Scaffold,5.43143,50,,MFYT01,112,4415,2016-10-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/789/205/GCA_001789205.1_ASM178920v1,
GCA_002478265.1,Syntrophaceae bacterium UBA7520,87.1,0.86,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002478265,Deltaproteobacteria,Deltaproteobacteria,UBA7520,SAMN06455581,PRJNA348753,Parks 2017 UBA reassembly,Formation waters from coalbed methane wells,Engineered,GCA_002478265.1,Scaffold,2.34442,47.7,,DLNC01,40,0,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/478/265/GCA_002478265.1_ASM247826v1,
